Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Accipiter,Brisson,Accipiter badius,Gmelin,1788,Accepted as,Accipiter badius,"????? (Halder, 2010)",Shikra,35,Eagles,Goshawk,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 78; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Accipiter,Brisson,Accipiter trivirgatus,Temminck,1824,Accepted as,Accipiter trivirgatus,"???????? ????????? (Halder, 2010)","Asian Crested Goshawk, Crested Goshawk",43,Eagles,Goshawk,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 79; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Accipiter,Brisson,Accipiter virgatus,Temminck,1822,Accepted as,Accipiter virgatus,"????? (Halder, 2010)",Besra,32,Eagles,Goshawk,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 78; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Salvin,Acrocephalus,J.A. Naumann & J.F. Naumann,Acrocephalus orinus,Oberholser,1905,Unresolved as,Acrocephalus orinus,,Large-billed Reed Warbler,,Reed Warblers,Marsh Warbler,Resident,DD,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Actitis,Illiger,Actites hypoleucos,Linnaeus,1758,Synonym for,Actitis hypoleucos,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Actitis,Illiger,Actitis hypoleucos,Linnaeus,1758,Accepted as,Actitis hypoleucos,"????????? (Halder, 2010)",Common Sandpiper,21,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 19; GBIF (2018); Halder (2010). p 56; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Aesalon,Kaup,Aesalon chicquera,Blanford,1895,Synonym for,Falco chicquera,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Aix,F. Boie,Aix galericulata,Linnaeus,1758,Accepted as,Aix galericulata,"????????? ???? (Halder, 2010)",Mandarin Duck,48,Ducks,Dabbling Duck,Vagrant,LC,Bangladesh (Haor),BLI (2018); GBIF (2018); Halder (2010). p 35; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo atthis,Linnaeus,1758,Accepted as,Alcedo atthis,"??? ??????? (Halder, 2010)","Common Kingfisher, European Kingfisher, Eurasian Kingfisher, River Kingfisher",17,Kingfisher,,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 132; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo atthis corsicana,Laubmann,1920,Synonym for,Alcedo atthis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo capensis,Linnaeus,1766,Synonym for,Pelargopsis capensis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo chloris,Boddaert,1783,Synonym for,Todiramphus chloris,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo erithaca,Linnaeus,1758,Synonym for,Ceyx erithaca,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo meninting,Horsfield,1821,Accepted as,Alcedo meninting,"?????? ??????? (Halder, 2010)",Blue-eared Kingfisher,16,Kingfisher,,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 132; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Alcedo,Linnaeus,Alcedo pileata,Boddaert,1783,Synonym for,Halcyon pileata,,,,,,,,,GBIF (2018)
