FAMILY,AUTHOR,GENUS,AUTHOR,SCIENTIFIC NAME,YEAR,SYNONYMS,LOCAL NAMES,ENGLISH NAME,FLOWER,,SEED,,HABITAT,ORIGIN,STATUS IN BENGAL,USES,DISTRIBUTION IN BENGAL,BIBLIOGRAPHY
Caprifoliaceae,Juss.,Abelia,R.Br.,Abelia triflora R.Br. ex Wall.,1829,Linnaea triflora (R.Br. ex Wall.) A.Braun & Vatke; Zabelia buddleioides (W.W. Sm.) Hisauti & H. Hara; Zabelia stenantha (Hand.-Mazz.) Golubk.; Zabelia triflora (R.Br. ex Wall.) Makino,"??????? ?????????? (??? ? ?????, ????)",,5,6,6,7,,Native,Wild,Ornament,West Bengal (Darj),??? ? ????? (????). ?? ???
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus crinitus Wall.,1830,Abelmoschus hainanensis S.Y.Hu; Hibiscus crinitus (Wall.) G. Don; Hibiscus fusiformis Steud.,"?????????? (???, ????), ?????????? (???, ????)",,7,11,8,12,,Native,Wild,Unknown,West Bengal (Puru),??? (????). ?? ???
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus esculentus (L.) Moench,1794,Abelmoschus longifolius (Willd.) Kostel.; Hibiscus esculentus L.; Hibiscus ficifolius Mill.,"????? (Tabassum, 2015), ?????? (Tabassum, 2015), ?????? (Rahman, 2013a)","Lady's Finger, Common Okra,
Okra",All,All,All,All,,Africa,Cultivated,Vegetable,Bangladesh (All Zones); West Bengal (All Zones),"??? (????). ?? ???; Rahman (2013a). p 106, p 109; Tabassum (2015). p 125; Uddin et al. (2014). p 1"
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus ficulneus (L.) Wight & Arn.,1833,Abelmoschus alborubens Benth.; Hibiscus ficulneus L.; Laguna aculeata Cav.,"??????? (?), ???????? (?)",,9,11,11,3,,Native,Wild,Unknown,"West Bengal (Central Zone, Southern Zone)",??? (????). ?? ???
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus manihot (L.) Medik.,1787,Abelmoschus caillei (A.Chev.) Stevels; Abelmoschus platidactylus (Bakh.) Nakai; Abelmoschus pseudomanihot (DC.) Endl.; Hibiscus japonicus Miq.; Hibiscus manihot L.,"?????????????? (??????), ???????? (???, ????; Tabassum, 2015), ?????? (???, ????)",Sunset Hibiscus,7,11,8,1,,China,Cultivated,Ornament,Bangladesh (Gazi); West Bengal (All Zones),??? (????). ?? ???; Tabassum (2015). p 125
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss.Waalk.,1966,Abelmoschus ficulneoides (Lindl.) Walp.; Abelmoschus luzonensis Merr.; Abelmoschus manihot var. tetraphylla (Roxb. ex Hornem.) Hochr.; Abelmoschus mindanaensis Warb.; Abelmoschus tetraphyllus (Roxb. ex Hornem.) Wall.,"????? ?????, ????? ?????? (???, ????)",,7,11,8,12,,Native,Wild,Unknown,West Bengal (All Zones),??? (????). ?? ???
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus moschatus Medik.,1787,Abelmoschus chinensis Wall.; Abelmoschus ciliaris Walp.; Abelmoschus haenkeanus C.Presl; Abelmoschus marianus C.Presl; Abelmoschus roseus Walp.; Hibiscus abelmoschus L.; Hibiscus chinensis Roxb.; Hibiscus collinsianus Nutt. ex Torr. & A. Gray; Hibiscus moschatus (Medik.) Salisb.,"??????????, ???? ???????, ???????? (?), ????????? (?)",,7,11,10,12,,Native,Wild,Unknown,"Bangladesh (Chan, Coxs, Nara, Noa); West Bengal (All Zones)",??? (????). ?? ???
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus moschatus subsp. tuberosus (Span.) Borss.Waalk.,1966,Abelmoschus brevicapsulatus (Hochr.) Hochr.; Abelmoschus moschatus var. rugosus (Wall. ex Wight & Arn.) Hochr.; Abelmoschus sharpei Copel. ex Merr.; Abelmoschus todayensis Elmer; Hibiscus brevicapsulatus Hochr.; Hibiscus longifolius var. tuberosus Span.; Hibiscus sharpei Hochr.; Hibiscus todayensis Hochr.,"?????? ??????????, ?????? ??????????",,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,"Bangladesh (Dhak, Sher)",N.A
Malvaceae,Juss.,Abelmoschus,Medik.,Abelmoschus sagittifolius (Kurz) Merr.,1924,,?????????,,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Bangladesh,N.A
Malvaceae,Juss.,Abroma,Jacq.,Abroma augusta (L.) L.f.,1782,Abroma alata Blanco; Abroma angulata Lam.; Abroma angulosa Poir.; Abroma communis Blanco; Abroma denticulata Miq.; Abroma elongata Lam.; Abroma fastuosa R.Br.; Abroma mollis DC.; Ambroma augustum (L.) L.f.; Herrania mariae (Mart.) Decne. ex Goudot; Theobroma augustum L.,"???????? (Rahman, 2013a; Tabassum, 2015), ?????? (Tabassum, 2015), ?????????, ??????, ????, ????????????, ???? ????? (???), ??????? (???), ?????? (????)",Devil’s Cotton,6,12,7,1,Natural Forest,Native,Wild,Medicine,Bangladesh (All Zones); West Bengal (All Zones),??? (????). ?? ???; Motaleb et al. (2011). p 6; Rahman (2013a). p 106; Tabassum (2015). p 119
Fabaceae,Lindl.,Abrus,Adans.,Abrus precatorius L.,1767,Abrus abrus (L.) Wright; Abrus cyaneus R.Vig.; Abrus maculatus Noronha; Abrus minor Desv.; Abrus pauciflorus Desv.; Abrus squamulosus E.Mey.; Abrus tunguensis Lima; Abrus tunguensis P. Lima; Glycine abrus L.,"???? (??????) (?????, ?????), ???? (?????, ?????; Rahman, 2013a; Tabassum, 2015; WCSA, 2012), ?????? (???????????) (?????, ?????), ??????? (???, ????), ???? (?????, ?????; Tabassum, 2015), ??? (???, ????), ????? (Tabassum, 2015), ??????? (???, ????), ??????? (????, ????)","Indian Liquorice, Rosary Pea",7,11,8,2,Natural Forest,Native,Wild,"Medicine, Protected BD (2012)","Bangladesh (Dhak, Gazi, Rajs, Sunb); West Bengal (All Zones)",??? (????). ?? ???; Rahman (2013a). p 106; ????? (?????). ?? ???; ????? (?????). ?? ??; Tabassum (2015). p 206; WCSA (2012)
Fabaceae,Lindl.,Abrus,Adans.,Abrus pulchellus Thwaites,1859,Abrus fruticulosus auct. non Wight & Arn.; Abrus laevigatus sensu Breteler; Abrus melanospermus Hassk.; Abrus stictosperma Berhaut; Abrus stictospermus Berhaut,"???? ???? (???, ????)",,9,12,11,1,,Native,Wild,Unknown,"West Bengal (Darj, Jalp)",??? (????). ?? ???
Malvaceae,Juss.,Abutilon,Mill.,Abutilon grandifolium (Willd.) Sweet,1826,Abutilon arnottianum (Gillies ex Hook. & Arn.) Walp.; Abutilon kauaiense Hochr.; Abutilon molle Sweet; Abutilon mollicomum (Willd.) Sweet; Abutilon sordidum K.Schum.; Abutilon tortuosum Guill. & Perr.; Sida grandifolia Willd.; Sida mollicoma Willd.; Sida mollis Rich.; Sida sericea Mill.,?????????,,10,3,11,4,,"Brazil, Peru",Cultivated,Ornament,West Bengal (All Zones),??? (????). ?? ???
Malvaceae,Juss.,Abutilon,Mill.,Abutilon hirtum (Lam.) Sweet,1826,Abutilon graveolens (Roxb. ex Hornem.) Wight & Arn.; Abutilon heterotrichum Hochst. ex Mattei; Abutilon kotschyi Hochst. ex Webb; Abutilon lugardii Hochr. & Schinz; Napaea incurva Moench; Sida graveolens Roxb. ex Hornem.; Sida hirta Lam.,"?????? (Tabassum, 2015), ????? (Tabassum, 2015), ?? ??????, ??? ??????, ?? ?????, ?? ????, ??????","Indian Mallow (1), Moon Flower (1)",10,4,11,5,Natural Forest,Native,Wild,Unknown,"Bangladesh (Gazi); West Bengal (Central Zone, Southern Zone)",??? (????). ?? ???; Tabassum (2015). p 126
Malvaceae,Juss.,Abutilon,Mill.,Abutilon indicum (L.) Sweet,1826,Abutilon albidum (Willd.) Sweet; Abutilon asiaticum (L.) Sweet; Abutilon grandiflorum G.Don; Abutilon populifolium (Lam.) Sweet; Beloere cistiflora Shuttlew. ex A.Gray; Sida albida Willd.; Sida asiatica L.; Sida indica L.; Sida populifolia Lam.,"?????? (??????) (?????, ?????), ?????? (?????, ?????; Tabassum, 2015), ?????? (Tabassum, 2015), ????? (Rahman, 2013a), ?????? (???, ????), ?????? (???, ????), ??????? (???, ????), ???? ?????? (????????), ????? (????????)","Indian Mallow (2), Moon Flower (2)",7,11,8,5,,Native,Wild,Unknown,"Bangladesh (Bhol, Dhak, Gazi, Rajs); West Bengal (All Zones)",??? (????). ?? ???; Rahman (2013a). p 106; ????? (?????). ?? ??; Tabassum (2015). p 127
Malvaceae,Juss.,Abutilon,Mill.,Abutilon persicum (Burm.f.) Merr.,1921,Abutilon polyandrum (Roxb.) Wight & Arn.; Abutilon sundaicum (Blume) G.Don; Abutilon timoriense (DC.) G.Don; Sida persica Burm. f.; Sida polyandra Roxb.; Sida sundaica Blume; Sida timoriensis DC.,?????? ???,,11,3,12,4,,Native,Wild,Unknown,West Bengal (Western Zone),??? (????). ?? ???
Malvaceae,Juss.,Abutilon,Mill.,Abutilon pictum (Gillies ex Hook.) Walp.,1842,Abutilon pleniflorum N.E.Br.; Abutilon pseudostriatum Hochr.; Abutilon striatum Dicks. ex Lindl.; Abutilon thompsonii H.J.Veitch; Abutilon thompsonii André; Abutilon venosum Lem.; Sida picta Gillies ex Hook.; Sida striata (Dicks. ex Lindl.) D. Dietr.,"????? ??? (???, ????), ??? ??????, ??? ????",,1,3,2,4,,Central America,Cultivated,Ornament,West Bengal (All Zones),??? (????). ?? ???
Malvaceae,Juss.,Abutilon,Mill.,Abutilon theophrasti Medik.,1787,Abutilon abutilon (L.) Huth; Abutilon avicennae Gaertn.; Abutilon pubescens Moench; Malva abutilon E.H.L. Krause; Sida abutilon L.; Sida planiflora Cav.; Sida tenax Salisb.; Sida tiliifolia Fisch. ex DC.,"?????? (???, ????), ???????? ??? (???, ????)",,5,7,6,8,,"China, Mediterranean Region",Wild,Unknown,"West Bengal (N24P, S24P)",??? (????). ?? ???
Fabaceae,Lindl.,Acacia,Martius,Acacia auriculiformis Benth.,1842,Acacia auriculaeformis Benth.; Acacia moniliformis Griseb.; Acacia monoliformis Griseb.; Racosperma auriculiforme (Benth.) Pedley,"???????? (???????????) (???, ????; ?????, ?????; Tabassum, 2015), ??????? (???, ????; Mollah et al., 2005; Rahman, 2013a; ?????, ?????; Tabassum, 2015), ????? (Mollah et al., 2005), ???? ??????? (????????)","Darwin Black Wattle, Ear-pod Wattle",6,2,7,3,"Homestead, Natural Forest",Australia,Cultivated,"Ornament, Shade, Timber",Bangladesh (All Zones); West Bengal (All Zones),"??? (????). ?? ???; Mollah et al. (2005). p 27; Rahman (2013a). p 106; ????? (?????). ?? ???, ???; Tabassum (2015). p 176"
Fabaceae,Lindl.,Acacia,Martius,Acacia caesia (L.) Willd.,1806,Acacia columnaris Craib; Albizia sikharamensis K.C.Sahni & Bennet; Mimosa caesia (L.) Willd.; Mimosa caesia L.,???? ?????,"Soap Bark, Palinja",4,2,5,3,,Native,Wild,Unknown,Bangladesh (Gazi),Tabassum (2015). p 177
Fabaceae,Lindl.,Acacia,Martius,Acacia catechu (L.f.) Willd.,1806,Acacia catechuoides (Roxb.) Benth.; Acacia sundra (Roxb.) Bedd.; Acacia wallichiana DC.; Mimosa catechu L.f.; Mimosa catechuoides Roxb.; Senegalia catechu (L.f.) P.J.H. Hurter & Mabb.,"???? (???, ????; Mollah et al., 2005; Rahman, 2013a; ?????, ?????; Tabassum, 2015), ???? ????? (Tabassum, 2015), ???? (???, ????), ???? ????? (????????)","Cutch Tree, Black Cutch",3,12,4,1,,Native,Wild,Chewing Spice; Dye,"Bangladesh (AERE, Gazi, Rajs); West Bengal (All Zones)",??? (????). ?? ???; Mollah et al. (2005). p 32; Rahman (2013a). p 106; ????? (?????). ?? ???; Tabassum (2015). p 177
